index,ID,Address,Distance to destination (miles),Hours Enforced,Parking Permit,Bus Service / Handicap / Van Spaces / Motorcycle / EV Charging,Visitor Paid Parking (Y/N),Yellow Pass (Y/N),Orange Pass (Y/N),Blue Pass (Y/N),Gold Pass (Y/N),Housing lot (Y/N),Bus Service (Y/N),Handicap (Y/N),Van Spaces (Y/N),Motorcycle (Y/N),EV Charging (Y/N),latitude,longitude,place_id
1,NC5,"NC5 Parking Lot, Ann Arbor, MI 48109, USA",,6am-5pm Mon-Fri,,,Y,N,N,Y,Y,N,N,N,N,N,N,42.288145,-83.7143879,ChIJ5XY51Y6uPIgRy7s2ycuOFzw
2,NC8,"NC8 Parking Lot, Ann Arbor, MI 48109, USA",,6am-5pm Mon-Fri,,,N,N,N,Y,Y,N,N,N,N,N,N,42.2880845,-83.7136601,ChIJXVHG146uPIgR3qKXIRBQTBY
3,NC9,"NC9 Parking Lot, Baxter Rd, Ann Arbor, MI 48105, USA",,6am-5pm Mon-Fri,,,Y,Y,N,Y,Y,N,N,Y,N,Y,N,42.2981756,-83.7022002,ChIJO2wTRJ6uPIgRDHrIZv8j_n4
4,NC10,"NC10 Parking Lot, 1000 Baits Dr, Ann Arbor, MI 48109, USA",,6am-5pm Mon-Fri,,,Y,N,N,Y,Y,N,N,Y,N,N,N,42.2895435,-83.7218561,ChIJl0JW7mKuPIgRjGIy73yR6gY
5,NC16,"NC16 Parking Lot, Ann Arbor, MI 48109, USA",,6am-5pm Mon-Fri,,,N,N,N,Y,Y,N,N,Y,N,Y,N,42.2895192,-83.7136163,ChIJp9gBR4-uPIgRqq_DVnKziQY
6,NC20,"G.G. Brown Building, 2350 Hayward St, Ann Arbor, MI 48109, United States",,6am-5pm Mon-Fri,,,N,N,N,Y,Y,N,N,Y,N,Y,N,42.2935705,-83.7136664,ChIJr7xLUL6vPIgRcn7jFif1QLw
7,NC21,"NC21 Parking Lot, Ann Arbor, MI 48109, USA",,6am-5pm Mon-Fri,,,N,N,N,Y,Y,N,N,Y,N,N,N,42.2936563,-83.7163847,ChIJ74yr8YauPIgR3VLLtw1oHxc
8,NC22,"NC22 Parking Lot, Ann Arbor, MI 48109, USA",,6am-5pm Mon-Fri,,,N,N,N,Y,Y,N,N,Y,N,N,N,42.2931817,-83.7099475,ChIJ-RWo0ISuPIgRQrF6Bl_I_cA
9,NC26,"NC26 Parking Lot, Ann Arbor, MI 48109, USA",,6am-5pm Mon-Fri,,,Y,N,N,N,N,N,N,N,N,N,N,42.2939623,-83.7086283,ChIJJ0r5N5uuPIgRgS1TMCtGLpY
10,NC27,"NC27 Parking Lot, Ann Arbor, MI 48109, USA",,6am-8pm Mon-Sat,,,Y,N,N,Y,Y,N,N,Y,N,Y,Y,42.2923634,-83.717555,ChIJwdf_s4euPIgRU0_9wablCq0
11,NC28,"NC28 Parking Lot, Ann Arbor, MI 48109, USA",,6am-5pm Mon-Fri,,,N,N,N,Y,Y,N,N,Y,N,Y,N,42.2948577,-83.7109712,ChIJyaVJmoSuPIgRju-NtO8gWpc
12,NC32,"NC32 Parking Lot, Ann Arbor, MI 48109, USA",,6am-5pm Mon-Fri,,,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,42.292219,-83.7237607,ChIJ21jAwHyuPIgRAr5fkcN6sj4
13,NC34,"42.297421, -83.702522",,6am-5pm Mon-Fri,,,N,Y,N,Y,Y,N,N,Y,N,N,N,42.297421,-83.702522,
14,NC38,"42.297054, -83.697327",,6am-5pm Mon-Fri,,,N,Y,N,Y,Y,N,N,N,N,N,N,42.297054,-83.697327,
15,NC40,"42.295643, -83.725716",,6am-5pm Mon-Fri,,,Y,Y,N,Y,Y,N,N,Y,Y,N,N,42.295643,-83.725716,
16,NC43,"NC43 Parking Lot, Ann Arbor, MI 48109, USA",,6am-5pm Mon-Fri,,,Y,N,N,Y,Y,N,N,Y,N,Y,N,42.2883566,-83.7171735,ChIJGwMnAImuPIgRqpevQIkry2s
17,NC44,"NC44 Parking Lot, Ann Arbor, MI 48105, USA",,6am-5pm 7 days,,,Y,N,N,N,N,N,N,Y,Y,N,N,42.2949906,-83.7202972,ChIJ89rk832uPIgR2VR3xO61F_o
18,NC45,"42.29548449918087, -83.71919708259574",,6am-5pm Mon-Fri,,,N,N,N,Y,Y,N,N,Y,N,Y,N,42.2923726,-83.7176266,
19,NC46,"NC46 Parking Lot, Hubbard Rd, Ann Arbor, MI 48109, USA",,6am-5pm Mon-Fri,,,N,Y,Y,Y,Y,N,Y,Y,N,N,N,42.2956853,-83.7083342,ChIJDelgo5yuPIgRzAqqsNNoBY0
20,NC48,"NC48 Parking Lot, Ann Arbor, MI 48109, USA",,6am-5pm Mon-Fri,,,N,N,N,Y,Y,N,N,Y,N,N,N,42.2935378,-83.7171877,ChIJORzv_YauPIgRlvHo-_xvjp0
21,NC51,"NC51 Parking Lot, Ann Arbor, MI 48109, USA",,6am-5pm Mon-Fri,,,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,42.2892347,-83.7055027,ChIJiQrlmZCuPIgRikN8UggZn0M
22,NC52,"NC52 Parking Lot, Ann Arbor, MI 48109, USA",,6am-5pm Mon-Fri,,,N,Y,Y,Y,Y,N,N,Y,N,N,N,42.288371,-83.7071284,ChIJJ1x9WpCuPIgROIlNvO7xLv8
23,NC53,"NC53 Parking Lot, Ann Arbor, MI 48109, USA",,6am-5pm Mon-Fri,,,N,Y,Y,Y,Y,N,N,Y,N,N,N,42.2950724,-83.7077388,ChIJXYEGZJuuPIgRGgMfWAPITZA
24,NC54,"NC54 Parking Lot, 1789 Beal Ave, Ann Arbor, MI 48105",,6am-5pm Mon-Fri,,,N,Y,Y,Y,Y,N,N,N,N,N,N,42.30026592,-83.71208218,
